Date,Country,Index_category,Index,Value
2024-11-01,IT,Interest_rates,Tipo_interés_medio_ponderado,4.5268
2024-10-01,IT,Interest_rates,Tipo_interés_medio_ponderado,4.6999
2024-09-01,IT,Interest_rates,Tipo_interés_medio_ponderado,4.9017
2024-08-01,IT,Interest_rates,Tipo_interés_medio_ponderado,5.128
2024-07-01,IT,Interest_rates,Tipo_interés_medio_ponderado,5.2841
2024-06-01,IT,Interest_rates,Tipo_interés_medio_ponderado,5.2631
2024-05-01,IT,Interest_rates,Tipo_interés_medio_ponderado,5.3796
2024-04-01,IT,Interest_rates,Tipo_interés_medio_ponderado,5.2987
2024-03-01,IT,Interest_rates,Tipo_interés_medio_ponderado,5.2596
2024-02-01,IT,Interest_rates,Tipo_interés_medio_ponderado,5.3436
2024-01-01,IT,Interest_rates,Tipo_interés_medio_ponderado,5.4839
2023-12-01,IT,Interest_rates,Tipo_interés_medio_ponderado,5.4537
2023-11-01,IT,Interest_rates,Tipo_interés_medio_ponderado,5.5921
2023-10-01,IT,Interest_rates,Tipo_interés_medio_ponderado,5.4609
2023-09-01,IT,Interest_rates,Tipo_interés_medio_ponderado,5.3451
2023-08-01,IT,Interest_rates,Tipo_interés_medio_ponderado,5.0055
2023-07-01,IT,Interest_rates,Tipo_interés_medio_ponderado,5.0919
2023-06-01,IT,Interest_rates,Tipo_interés_medio_ponderado,5.0356
2023-05-01,IT,Interest_rates,Tipo_interés_medio_ponderado,4.8122
2023-04-01,IT,Interest_rates,Tipo_interés_medio_ponderado,4.5218
2023-03-01,IT,Interest_rates,Tipo_interés_medio_ponderado,4.3008
2023-02-01,IT,Interest_rates,Tipo_interés_medio_ponderado,3.5509
2023-01-01,IT,Interest_rates,Tipo_interés_medio_ponderado,3.7193
2022-12-01,IT,Interest_rates,Tipo_interés_medio_ponderado,3.5527
2022-11-01,IT,Interest_rates,Tipo_interés_medio_ponderado,2.9982
2022-10-01,IT,Interest_rates,Tipo_interés_medio_ponderado,2.5372
2022-09-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.992
2022-08-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.4468
2022-07-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.3112
2022-06-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.4422
2022-05-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.1882
2022-04-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.2291
2022-03-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.2289
2022-02-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.0896
2022-01-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.124
2021-12-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.1844
2021-11-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.0926
2021-10-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.1411
2021-09-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.1557
2021-08-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.0721
2021-07-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.0492
2021-06-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.1723
2021-05-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.1275
2021-04-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.1863
2021-03-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.2545
2021-02-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.142
2021-01-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.1722
2020-12-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.3828
2020-11-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.3279
2020-10-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.2854
2020-09-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.2864
2020-08-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.1469
2020-07-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.189
2020-06-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.2627
2020-05-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.2084
2020-04-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.0645
2020-03-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.0526
2020-02-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.2534
2020-01-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.1784
2019-12-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.3708
2019-11-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.2914
2019-10-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.3104
2019-09-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.2631
2019-08-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.2589
2019-07-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.3712
2019-06-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.3485
2019-05-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.4264
2019-04-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.4598
2019-03-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.4215
2019-02-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.5229
2019-01-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.474
2018-12-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.4718
2018-11-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.5103
2018-10-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.5268
2018-09-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.4578
2018-08-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.5544
2018-07-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.4934
2018-06-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.4938
2018-05-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.4354
2018-04-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.4729
2018-03-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.5368
2018-02-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.5407
2018-01-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.4214
2017-12-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.5042
2017-11-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.4918
2017-10-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.5047
2017-09-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.4472
2017-08-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.5929
2017-07-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.5465
2017-06-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.5386
2017-05-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.5993
2017-04-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.5197
2017-03-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.6694
2017-02-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.5242
2017-01-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.5602
2016-12-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.5379
2016-11-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.5591
2016-10-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.57
2016-09-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.4979
2016-08-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.6514
2016-07-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.7053
2016-06-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.7315
2016-05-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.777
2016-04-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.9222
2016-03-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.9028
2016-02-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.9366
2016-01-01,IT,Interest_rates,Tipo_interés_medio_ponderado,2.0309
2015-12-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.9163
2015-11-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.8731
2015-10-01,IT,Interest_rates,Tipo_interés_medio_ponderado,2.0103
2015-09-01,IT,Interest_rates,Tipo_interés_medio_ponderado,1.9735
2015-08-01,IT,Interest_rates,Tipo_interés_medio_ponderado,2.102
2015-07-01,IT,Interest_rates,Tipo_interés_medio_ponderado,2.0586
2015-06-01,IT,Interest_rates,Tipo_interés_medio_ponderado,2.127
2015-05-01,IT,Interest_rates,Tipo_interés_medio_ponderado,2.1676
2015-04-01,IT,Interest_rates,Tipo_interés_medio_ponderado,2.3946
2015-03-01,IT,Interest_rates,Tipo_interés_medio_ponderado,2.3988
2015-02-01,IT,Interest_rates,Tipo_interés_medio_ponderado,2.5372
2015-01-01,IT,Interest_rates,Tipo_interés_medio_ponderado,2.5211
2014-12-01,IT,Interest_rates,Tipo_interés_medio_ponderado,2.5702
2014-11-01,IT,Interest_rates,Tipo_interés_medio_ponderado,2.5452
2014-10-01,IT,Interest_rates,Tipo_interés_medio_ponderado,2.6594
2014-09-01,IT,Interest_rates,Tipo_interés_medio_ponderado,2.8736
2014-08-01,IT,Interest_rates,Tipo_interés_medio_ponderado,2.9531
2014-07-01,IT,Interest_rates,Tipo_interés_medio_ponderado,3.0879
2014-06-01,IT,Interest_rates,Tipo_interés_medio_ponderado,3.0818
2014-05-01,IT,Interest_rates,Tipo_interés_medio_ponderado,3.2901
2014-04-01,IT,Interest_rates,Tipo_interés_medio_ponderado,3.3294
2014-03-01,IT,Interest_rates,Tipo_interés_medio_ponderado,3.4366
2014-02-01,IT,Interest_rates,Tipo_interés_medio_ponderado,3.4686
2014-01-01,IT,Interest_rates,Tipo_interés_medio_ponderado,3.3856
2013-12-01,IT,Interest_rates,Tipo_interés_medio_ponderado,3.4522
2013-11-01,IT,Interest_rates,Tipo_interés_medio_ponderado,3.426
2013-10-01,IT,Interest_rates,Tipo_interés_medio_ponderado,3.4856
2013-09-01,IT,Interest_rates,Tipo_interés_medio_ponderado,3.5434
2013-08-01,IT,Interest_rates,Tipo_interés_medio_ponderado,3.4757
2013-07-01,IT,Interest_rates,Tipo_interés_medio_ponderado,3.5105
2013-06-01,IT,Interest_rates,Tipo_interés_medio_ponderado,3.3382
2013-05-01,IT,Interest_rates,Tipo_interés_medio_ponderado,3.4574
2013-04-01,IT,Interest_rates,Tipo_interés_medio_ponderado,3.5639
2013-03-01,IT,Interest_rates,Tipo_interés_medio_ponderado,3.4904
2013-02-01,IT,Interest_rates,Tipo_interés_medio_ponderado,3.4679
2013-01-01,IT,Interest_rates,Tipo_interés_medio_ponderado,3.6039
2012-12-01,IT,Interest_rates,Tipo_interés_medio_ponderado,3.6418
2012-11-01,IT,Interest_rates,Tipo_interés_medio_ponderado,3.6307
2012-10-01,IT,Interest_rates,Tipo_interés_medio_ponderado,3.5927
2012-09-01,IT,Interest_rates,Tipo_interés_medio_ponderado,3.4558
2012-08-01,IT,Interest_rates,Tipo_interés_medio_ponderado,3.3389
