Country,Region,year,index,value
ES,Cataluña/Catalunya,2016-01-01,Primary,7684.916999999997
ES,Cataluña/Catalunya,2017-01-01,Primary,7791.590000000001
ES,Cataluña/Catalunya,2018-01-01,Primary,8067.244
ES,Cataluña/Catalunya,2019-01-01,Primary,8504.843999999996
ES,Cataluña/Catalunya,2020-01-01,Primary,8289.278999999997
ES,Cataluña/Catalunya,2021-01-01,Primary,8707.071000000004
ES,Cataluña/Catalunya,2022-01-01,Primary,11114.644000000004
ES,Cataluña/Catalunya,2023-01-01,Primary,11238.550000000001
ES,Cataluña/Catalunya,2024-01-01,Primary,11437.298999999997
ES,Ciudad Autónoma de Ceuta,2015-01-01,Primary,44.126000000000005
ES,Ciudad Autónoma de Ceuta,2016-01-01,Primary,40.811
ES,Ciudad Autónoma de Ceuta,2017-01-01,Primary,39.312000000000005
ES,Ciudad Autónoma de Ceuta,2018-01-01,Primary,41.512
ES,Ciudad Autónoma de Ceuta,2019-01-01,Primary,40.708999999999996
ES,Ciudad Autónoma de Ceuta,2020-01-01,Primary,42.129000000000005
ES,Ciudad Autónoma de Ceuta,2021-01-01,Primary,48.520999999999994
ES,Ciudad Autónoma de Ceuta,2022-01-01,Primary,74.679
ES,Ciudad Autónoma de Ceuta,2023-01-01,Primary,66.322
ES,Ciudad Autónoma de Ceuta,2024-01-01,Primary,66.03
ES,Ciudad Autónoma de Melilla,2015-01-01,Primary,24.640000000000004
ES,Ciudad Autónoma de Melilla,2016-01-01,Primary,24.403
ES,Ciudad Autónoma de Melilla,2017-01-01,Primary,23.183999999999997
ES,Ciudad Autónoma de Melilla,2018-01-01,Primary,24.174000000000003
ES,Ciudad Autónoma de Melilla,2019-01-01,Primary,22.524
ES,Ciudad Autónoma de Melilla,2020-01-01,Primary,21.090000000000003
ES,Ciudad Autónoma de Melilla,2021-01-01,Primary,24.953
ES,Ciudad Autónoma de Melilla,2022-01-01,Primary,52.013
ES,Ciudad Autónoma de Melilla,2023-01-01,Primary,42.339999999999996
ES,Ciudad Autónoma de Melilla,2024-01-01,Primary,41.760000000000005
ES,Comunidad Foral de Navarra,2015-01-01,Primary,1377.5699999999997
ES,Comunidad Foral de Navarra,2016-01-01,Primary,1432.4029999999998
ES,Comunidad Foral de Navarra,2017-01-01,Primary,1550.7249999999997
ES,Comunidad Foral de Navarra,2018-01-01,Primary,1498.163
ES,Comunidad Foral de Navarra,2019-01-01,Primary,1588.4479999999996
ES,Comunidad Foral de Navarra,2020-01-01,Primary,1504.393
ES,Comunidad Foral de Navarra,2021-01-01,Primary,1607.7299999999998
ES,Comunidad Foral de Navarra,2022-01-01,Primary,2277.878
ES,Comunidad Foral de Navarra,2023-01-01,Primary,1812.4219999999996
ES,Comunidad Foral de Navarra,2024-01-01,Primary,1843.6289999999995
ES,Comunidad de Madrid,2015-01-01,Primary,4524.907999999999
ES,Comunidad de Madrid,2016-01-01,Primary,4733.903
ES,Comunidad de Madrid,2017-01-01,Primary,5148.460000000001
ES,Comunidad de Madrid,2018-01-01,Primary,5791.414000000002
ES,Comunidad de Madrid,2019-01-01,Primary,6069.939000000002
ES,Comunidad de Madrid,2020-01-01,Primary,5981.426
ES,Comunidad de Madrid,2021-01-01,Primary,6595.643999999999
ES,Comunidad de Madrid,2022-01-01,Primary,8823.728000000001
ES,Comunidad de Madrid,2023-01-01,Primary,8143.629999999999
ES,Comunidad de Madrid,2024-01-01,Primary,7816.820000000001
ES,Comunitat Valenciana,2015-01-01,Primary,5400.1269999999995
ES,Comunitat Valenciana,2016-01-01,Primary,5413.830999999998
ES,Comunitat Valenciana,2017-01-01,Primary,5401.141000000002
ES,Comunitat Valenciana,2018-01-01,Primary,5533.790000000001
ES,Comunitat Valenciana,2019-01-01,Primary,5566.6669999999995
ES,Comunitat Valenciana,2020-01-01,Primary,5622.0869999999995
ES,Comunitat Valenciana,2021-01-01,Primary,5936.414000000001
ES,Comunitat Valenciana,2022-01-01,Primary,6502.776000000002
ES,Comunitat Valenciana,2023-01-01,Primary,7089.811
ES,Comunitat Valenciana,2024-01-01,Primary,7362.203999999998
ES,Extremadura,2015-01-01,Primary,3282.516
